ID;main_flag;pin_code_flag;client_session_flag;ip_main_flag;fraud
1001;TRUE;TRUE;FALSE;FALSE;TRUE
1002;FALSE;TRUE;FALSE;FALSE;TRUE
1003;FALSE;TRUE;FALSE;FALSE;TRUE
1004;TRUE;TRUE;FALSE;FALSE;TRUE
1005;FALSE;FALSE;TRUE;FALSE;TRUE
1006;FALSE;FALSE;FALSE;FALSE;TRUE
1007;FALSE;TRUE;TRUE;TRUE;TRUE
1008;TRUE;TRUE;FALSE;FALSE;TRUE
1009;FALSE;TRUE;FALSE;TRUE;TRUE
1010;FALSE;TRUE;FALSE;TRUE;TRUE
1011;FALSE;FALSE;FALSE;FALSE;TRUE
1012;FALSE;TRUE;FALSE;TRUE;TRUE
1013;FALSE;FALSE;FALSE;FALSE;TRUE
1014;FALSE;TRUE;TRUE;FALSE;TRUE
1015;FALSE;TRUE;FALSE;TRUE;TRUE
1016;TRUE;TRUE;FALSE;FALSE;TRUE
1017;FALSE;TRUE;FALSE;TRUE;FALSE
1018;FALSE;FALSE;FALSE;FALSE;FALSE
1019;TRUE;FALSE;TRUE;FALSE;FALSE
1020;FALSE;FALSE;FALSE;FALSE;FALSE
1021;FALSE;FALSE;FALSE;FALSE;FALSE
1022;FALSE;FALSE;FALSE;FALSE;FALSE
1023;FALSE;TRUE;FALSE;FALSE;FALSE
1024;FALSE;FALSE;TRUE;FALSE;FALSE
1025;FALSE;TRUE;FALSE;FALSE;FALSE
1026;FALSE;FALSE;FALSE;FALSE;FALSE
1027;FALSE;TRUE;TRUE;FALSE;FALSE
1028;FALSE;TRUE;FALSE;FALSE;FALSE
1029;FALSE;TRUE;FALSE;TRUE;FALSE
1030;FALSE;FALSE;FALSE;FALSE;FALSE
1031;FALSE;TRUE;FALSE;FALSE;FALSE